SppName_ICTV_MSL2018b,hOrder,CFR_deaths,CFR_cases,CFR_country,CFR_timeline,CFR_avg,CFR_references,phylo_dist,vFamily,IsVectorBorne,spill_type,VirusFamilyPublicationCount,ReservoirPublicationCount,reason_deleted_from_primary_database,ref_reason_deleted_from_primary_database,VirusSppPublicationCount,ReservoirNspecies
Flexal mammarenavirus,RODENTIA,0,2,Brazil,not_specified,0,CFSPH 2010,179.65,Arenaviridae,0,laboratory_only,875,451,laboratory_only,CFSPH 2010,30,2368
Kasokero orthonairovirus,CHIROPTERA,0,4,Uganda,1977,0,Kalunda et al. 1986,192.92,Nairoviridae,0,laboratory_only,101,512,laboratory_only,Kalunda et al. 1986,0,1308
Tacaribe mammarenavirus,CHIROPTERA,0,1,not_specified,not_specified,0,Cogswell-Hawkinson et al. 2012,192.92,Arenaviridae,0,laboratory_only,875,512,laboratory_only,Cogswell-Hawkinson et al. 2012,263,1308
Yaba monkey tumor virus,PRIMATES,0,1,not_specified,1962,0,Wedum 1997,0,Poxviridae,0,laboratory_only,1531,1442,laboratory_only,Wedum 1997,86,502
Mucambo virus,RODENTIA,0,2,not_specified,not_specified,0,Mucha-Macias et al. 1965,179.65,Togaviridae,1,laboratory_only,2327,451,laboratory_only,Mucha-Macias et al. 1965,41,2368
Rio Bravo virus,CHIROPTERA,0,5,not_specified,1956,0,Sulkin et al. 1962,192.92,Flaviviridae,1,laboratory_only,8265,512,laboratory_only,Sulkin et al. 1962,59,1308
Highlands J virus,AVES,0,4,USA,1990-1991,0,Meehan et al. 2000,623.81,Togaviridae,1,direct,2327,326,serological_evidence_only,Meehan et al. 2000,49,6264
Bagaza virus,AVES,0,8,India,1996,0,Bondre et al. 2009; Weissenbock et al. 2010,623.81,Flaviviridae,1,direct,8265,262,serological_evidence_only,Faye et al. 2018,66,6264
Cali mammarenavirus,RODENTIA,0,2,Colombia,1965-1969,0,Trapido et al. 1971,179.65,Arenaviridae,0,direct,875,451,serological_evidence_only,Liang et al. 2009,341,2368
Cardiovirus A,RODENTIA,0,1010,China,not_specified,0,SHiC 2015. https://www.cfsph.iastate.edu/pdf/shic-factsheet-encephalomyocarditis-virus; Feng et al. 2015,179.65,Picornaviridae,0,direct,4682,451,serological_evidence_only,SHiC 2015. https://www.cfsph.iastate.edu/pdf/shic-factsheet-encephalomyocarditis-virus; Feng et al. 2015,12,2368
Human mastadenovirus B,PRIMATES,0,6,USA,2013,0,Borkenhagen et al. 2019,0,Adenoviridae,0,direct,891,1442,serological_evidence_only,Borkenhagen et al. 2019,24,502
Human mastadenovirus C,PRIMATES,0,6,USA,2013,0,Borkenhagen et al. 2019,0,Adenoviridae,0,direct,891,1442,serological_evidence_only,Borkenhagen et al. 2019,54,502
Human mastadenovirus E,PRIMATES,0,6,USA,2013,0,Borkenhagen et al. 2019,0,Adenoviridae,0,direct,891,1442,serological_evidence_only,Borkenhagen et al. 2019,15,502
Carnivore amdoparvovirus 1,CARNIVORA,0,2,Denmark,1963-1965,0,Jepsen et al. 2009,192.92,Parvoviridae,0,direct,1288,402,serological_evidence_only,Jepsen et al. 2009,9,288
Equine rhinitis A virus,PERISSODACTYLA,0,4,Austria,not_specified,0,Kriegshauser et al. 2005,192.92,Picornaviridae,0,direct,4682,120,serological_evidence_only,Kriegshauser et al. 2005,36,24
Erbovirus A,PERISSODACTYLA,0,5,Austria,not_specified,0,Kriegshauser et al. 2005,192.92,Picornaviridae,0,direct,4682,120,serological_evidence_only,Kriegshauser et al. 2005,18,24
Everglades virus,RODENTIA,0,20,United States,1969-1972,0,Ventura et al. 1974,179.65,Togaviridae,1,direct,2327,451,serological_evidence_only,Ventura et al. 1974,40,2368
Madariaga virus,RODENTIA,0,1,Panama,2010,0,Luciani et al. 2015,179.65,Togaviridae,1,direct,2327,451,serological_evidence_only,Luciani et al. 2015,27,2368
Mobala mammarenavirus,RODENTIA,0,7,Central African Republic,not_specified,0,Georges et al. 1984,179.65,Arenaviridae,0,direct,875,451,serological_evidence_only,Gunther et al. 2009,50,2368
Modoc virus,RODENTIA,0,3,Canada,1976,0,Zarnke et al. 1985,179.65,Flaviviridae,0,direct,8265,451,serological_evidence_only,Zarnke and Yuill 1985,104,2368
Palyam virus,CETARTIODACTYLA,0,11,Zimbabwe,1969-1977,0,Whistler et al 1989,192.92,Reoviridae,1,direct,2261,95,serological_evidence_only,Whistler et al 1989,25,339
Pestivirus A,CETARTIODACTYLA,0,180,Zambia,not_specified,0,Giangaspero et al. 1993,192.92,Flaviviridae,0,direct,8265,95,serological_evidence_only,Alekseev et al. 2008,13,339
Pixuna virus,RODENTIA,0,15,Argentina,2007,0,Pisano et al. 2013,179.65,Togaviridae,1,direct,2327,451,serological_evidence_only,Pisano et al. 2013,23,2368
Simian immunodeficiency virus,PRIMATES,0,2,United States,1992,0,Khabbaz et al. 1994,0,Retroviridae,0,direct,1461,1442,serological_evidence_only,Khabbaz et al. 1994,6632,502
Thailand orthohantavirus,RODENTIA,0,8,Sri Lanka,2008,0,Gamage et al. 2010,179.65,Bunyaviridae,0,direct,99,451,serological_evidence_only,Gamage et al. 2010,70,2368
Thottopalayam thottimvirus,EULIPOTYPHLA,0,12,India,1992-1993,0,Song et al. 2007,192.92,Bunyaviridae,0,direct,99,132,serological_evidence_only,Song et al. 2007,0,428
Tioman pararubulavirus,CHIROPTERA,0,5,Malaysia,2001,0,Yaiw et al. 2007,192.92,Paramyxoviridae,0,direct,3526,512,serological_evidence_only,Iehle et al. 2007,0,1308
Una virus,PRIMATES,0,3,Argentina,2001,0,Diaz et al. 2003,0,Togaviridae,1,direct,2327,1442,serological_evidence_only,Diaz et al. 2003,31,502
Dugbe orthonairovirus,CETARTIODACTYLA,0,1,South Africa,1980-1993,0,Burt et al. 1996,192.92,Nairoviridae,1,direct,101,95,serological_evidence_only,Burt et al. 1996,113,339
Isfahan vesiculovirus,RODENTIA,0,100,Iran,1975,0,Tesh et al. 1977,179.65,Rhabdoviridae,1,direct,1931,451,serological_evidence_only,Tesh et al. 1977,6,2368
Vesicular exanthema of swine virus,CARNIVORA,0,2,USA,not_specified,0,Center for Food Security and Public Health 2015. https://www.cfsph.iastate.edu/pdf/shic-factsheet-vesicular-exanthema-swine-virus,192.92,Caliciviridae,0,laboratory_only,1430,402,laboratory_only,Center for Food Security and Public Health 2015. https://www.cfsph.iastate.edu/pdf/shic-factsheet-vesicular-exanthema-swine-virus,20,288
Great Island virus,AVES,0,2,Russia,1962,0,Dilcher et al. 2012,623.81,Reoviridae,1,direct,2261,330,serological_evidence_only,Dilcher et al. 2012,28,6264
