SppName_ICTV_MSL2018b,emergence_year,death_count_start,death_count_end,death_period,emergence_country,emergence_continent,death_burden_since_1950,death_burden_notes,death_burden_references,vaccination_effects,vaccine_notes,vaccination_references,hOrder,reservoir.status,spillover.capacity,CFR_stat_lower,CFR_stat_upper,CFR_avg,CFR_stat_notes,CFR_stat_ref,CFR_deaths,CFR_cases,CFR_country,CFR_timeline,CFR_case_prop,CFR_country_specific,CFR_country_references,notes,human.trans,IsVectorBorne,Tr.primary,vFamily,GenomeType,class,spill_type,phylo_dist,tot_cases,GDP,country_case_prop,contr_GDP,weighted_GDP,VirusFamilyPublicationCount,VirusSppPublicationCount,ExclusiveCytoplasmicReplication,ReservoirNspecies
Alagoas vesiculovirus,pre-1950,1950,2020,70,unknown,unknown,0,NA,Fields et al. 1967,N,NA,Fields et al. 1967,CETARTIODACTYLA,1,1,0,0,0,,Fields et al. 1967,0,41,USA,1965,subset,0,Fields et al. 1967,Proxied with Indiana vesiculovirus,1,1,vector_from_animal,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,41,60055,1,60055,60055,1931,4,1,339
Andes orthohantavirus,1995,1995,2017,22,Argentina,South_America,753,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON,N,NA,GIDEON,RODENTIA,1,1,25,37,31,,Guth et al. 2019,114,533,Argentina,2009-2017,subset,21.3883677,Alonso et al. 2019,Occurs primarily in Chile and Argentina. Andes virus is the causative agent of the vast majority of HPS cases in Argentina (only exception is Laguna Negra virus--implicated in a few cases in the Northwest region),2,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,636,14400,0.83805031,12067.9245,14553.3664,99,510,1,2368
Andes orthohantavirus,1995,1995,2017,22,Argentina,South_America,753,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON,N,NA,GIDEON,RODENTIA,1,1,25,37,31,,Guth et al. 2019,33,103,Chile,1995-2012,subset,32.038835,Riquelme et al. 2015,Andes virus is the only known cause of HCPS in Chile,2,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,636,15347,0.16194969,2485.44182,14553.3664,99,510,1,2368
Argentinian mammarenavirus,1958,1958,2019,61,Argentina,South_America,2614,"32079 total cases reported by GIDEON, estimated death count with the averge CFR (8.15) reported for the GIDEON cases. The CFR is lower because GIDEON appears to have included unconfirmed cases, while Enria et al. did not",GIDEON,Y,Vaccination introduced in 1991,GIDEON,RODENTIA,1,1,15,30,22.5,,Enria et al. 2008,12,199,Argentina,1983,subset,6.03015075,Enria et al. 2008,Vaccination was introduced in 1991. Extracted CFR data from Enria et al. figures (confirmed case data). CFR from 1983. Highest number of confirmed cases before vaccination introduced,2,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,199,14400,1,14400,14400,875,455,1,2368
Australian bat lyssavirus,1996,1996,2020,24,Australia,Australia,3,NA,Francis et al. 2014,Y,Rabies vaccine believed to protect against related lyssaviruses,Francis et al. 2014,CHIROPTERA,1,1,100,100,100,,Francis et al. 2014,3,3,Australia,1996; 2013,all_recorded,100,Francis et al. 2014,Only 3 cases recorded and only 1 per outbreak,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,3,57613,1,57613,57613,1931,185,1,1308
Avian orthoavulavirus 1,pre-1950,1950,2020,70,unknown,unknown,0,NA,Nelson et al. 1952,Y,Vaccine for chickens that likely reduces human exposure,Nelson et al. 1952,AVES,1,0,0,0,0,,Nelson et al. 1952,0,40,USA,1951,subset,0,Nelson et al. 1952,Also known as Newcastle disease. There have been many more outbreaks--35 recorded between 1948 and 1971--but not well monitored because there isn't a huge impact on human public health (whereas Newcastle is really virulent in birds). Outbreaks always primarily contained on farms,1,0,direct_contact_with_animal,Paramyxoviridae,ssRNA(-),Aves,bridged,623.81,40,60055,1,60055,60055,3526,2,1,6264
Banzi virus,1956,1956,2020,64,South Africa,Africa,0,NA,Braack et al. 2018,N,NA,Braack et al. 2018,RODENTIA,1,1,0,0,0,,Braack et al. 2018,0,1,South Africa,1956,all_recorded,0,Braack et al. 2018,"Very little known, high seroprevalence in humans but only 2 confirmed cases. True number of cases and deaths unknown. Human.trans: Unknown whether human populations can maintain endemic transmission",1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,179.65,2,6151,0.5,3075.5,3542.5,8265,37,1,2368
Banzi virus,1956,1956,2020,64,South Africa,Africa,0,NA,Braack et al. 2018,N,NA,Braack et al. 2018,RODENTIA,1,1,0,0,0,,Braack et al. 2018,0,1,Tanzania,1959,all_recorded,0,Braack et al. 2018,"Very little known, high seroprevalence in humans but only 2 confirmed cases. True number of cases and deaths unknown. Human.trans: Unknown whether human populations can maintain endemic transmission",1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,179.65,2,934,0.5,467,3542.5,8265,37,1,2368
Bayou orthohantavirus,1993,1993,2020,27,USA,North_America,1,NA,Knust and Rollin 2013,N,NA,Knust and Rollin 2013,RODENTIA,1,1,20,20,20,,Knust and Rollin 2013; Guth et al. 2019,1,5,USA,1993-2013,all_recorded,20,Knust and Rollin 2013,,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,5,60055,1,60055,60055,99,67,1,2368
Black Creek Canal orthohantavirus,1993,1993,2020,27,USA,North_America,0,NA,Knust and Rollin 2013,N,NA,Knust and Rollin 2013,RODENTIA,1,1,0,0,0,,Khan et al. 1996,0,1,USA,1993,all_recorded,0,Knust and Rollin 2013,There's only been one laboratory confirmed human case,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,1,60055,1,60055,60055,99,109,1,2368
